简介,关键词
2003年-2013年的中国东北地区雪盖监测数据。,中国东北地区;雪盖;时间序列监测
湖南省1981年-2010年土壤生产潜力数据。,湖南省;土壤生产潜力
"本数据集欲利用粘土矿物组分及粗组分等，研究
该区域陆源输入与古气候间的关联。",南极半岛;布兰斯菲尔德海峡;陆源组分;古气候
本数据集基于南极科学考察数据统计分析了菲尔德斯半岛与协和半岛环境多介质中多氯联苯浓度水平。,南极半岛;菲尔德斯半岛;协和半岛;多介质;多氯联苯浓度
叶绿素 a 浓度是水体富营养化的重要指标。本数据集通过鄱阳湖水体光谱信息实地采集，分析了其实测光谱特征，构建了光谱指数。,鄱阳湖;叶绿素a浓度
洞庭湖区堤垸1949-2013空间分布数据集可用于分析洞庭湖区堤垸的时空格局、演变过程、土地利用变化模式及相应的驱动政策研究,洞庭湖;湖区堤垸;空间分布
该数据集提供了全球30弧秒（像元分辨率为1公里）网格内基岩（土壤、表土和沉积沉积物）上渗透层厚度的高分辨率估计，在对地形、气候和地质的研究中可作为基础本底数据进行输入。这些数据通过建模的方式以表示当前地质的地形类型的估计厚度。,全球;陆地表层;土壤沉积物厚度
"全球1km土地覆被数据集（2000年）是基于1999年10月至2000年12月的VEGA2000数据，包括4个波段的1km SPOT-4 VEGETATION及其10天合成的NDVI数据，以及日本地球资源卫星（Japanese Earth Resources Satellite，JERS-1）和欧洲遥感卫星（European Remote Sensing，ERS）雷达数据、美国军事气象卫星数据（Defence Meteorological Satellite Program，DMSP）和DEM等辅助数据，通过非监督分类方法得到。

",全球;1km;土地覆被
"全球1：100万湖泊水系数据覆盖全球陆地范围内的主要河流及湖泊数据。河流及湖泊中线数据以线状矢量形式表达，湖泊数据以面状多边形表达。该数据包含全球1455条水系与1355个主要湖泊。

",全球;1:100万;流域水系分布
利用CYCLOPES LAI产品、MODIS反射率产品等多源数据，运用广义回归神经网络(GRNNs)从时间序列遥感数据中估算LAI的方法，消除云覆盖影响，弥补LAI产品在时空上不连续的缺陷，生产出2010-2015年全球1kmMODIS叶面积指数（LAI）数据。,LAI;全球;1km
"使用基于MOD09产品时间序列生成云掩码的方法，一种更为精确的云检测技术将云过滤掉，去掉噪音污染的数据，并通过时间序列插值把缺失数据进行了填补,	生产出2009-2012年全球500mMODIS归一化植被指数（NDVI）数据。",NDVI;MODIS;500m
"以250 m分辨率MODIS-VCF(vegetation continuous fields,	植被连续场)产品及其衍生数据为基础数据源,	本课题组原始数据进行下载、预处理、融合尺度重建、质量控制得到2005-2010年全球250mMODIS植被连续覆盖（VCF）数据。",MODIS;VCF;250m
利用CRU气象中心、IPCC Data Distribution Centre发布的全球历史时期气象数据和未来气候变化数据（A2，B1）作为主要驱动数据（大气温度、相对湿度、云量、降水和风速等气象变量），采用植被覆盖、土壤质地、地形等作为输入条件，运用IBIS模型模拟得到2010-2020年“一带一路”沿线0.5°逐年蒸散发数据。,蒸散发;IBIS;地面监测
"利用CRU气象中心发布的全球历史时期气象数据和未来气候变化数据（A2，B1）作为主要驱动数据（大气温度、相对湿度、云量、降水和风速等气象变量），运用IBIS模型模拟得到2010-2020年“一带一路”沿线0.5°逐月径流量数据。

",逐月径流量;IBIS模型;地面监测
利用CRU气象中心、IPCC Data Distribution Centre发布的全球历史时期气象数据和未来气候变化数据（A2，B1）作为主要驱动数据（大气温度、相对湿度、云量、降水和风速等气象变量），采用植被覆盖、土壤质地、地形等作为输入条件，运用IBIS模型模拟得到“一带一路”沿线国家0.5°逐年NPP数据。,NPP;IBIS模型;地面监测
整合了收集了 2000-2013 年沿海水鸟调查数据、亚洲水鸟调查数据、中国观鸟记录中心等基于公众的水鸟调查记录，共涉及 243 个调查点 194 种水鸟 ,中国沿海、水鸟、调查记录
利用基于公众的水鸟调查记录，采用国际重要湿地、重要鸟区及东亚-澳大利西亚迁徙路线停歇地标准对中国沿海 11 个省（自 治区、直辖市）内水鸟栖息地的重要性进行了分析。,中国沿海、水鸟、保护优先区
高亚洲冰湖数据集是开展气候变化、水资源评估、灾害风险分析等研究的重要基础数据。该数据集（Hi-MAG）集成2008-2017年Landsat、高分卫星等影像，利用自适应阈值法和人工数字化等方法，提供了高亚洲全域、年度序列30米分辨率的冰湖产品，其包含冰湖位置、类型（4大类）、海拔、距离母体冰川的距离、面积、周长等信息。,冰湖; 高亚洲; 陆地卫星影像; 全球变暖; 表碛覆盖
2013-2017、中国地区、OLI_TIRS、30m、JSON格式的源文件,Landsat8;元数据;JSON;
2013-2017、中国地区、OLI_TIRS、30m、TIFF格式的影像质量数据,Landsat8;影像质量数据;TIFF;
以巴基斯坦国家为对象，搜集1990年至2015年反映巴基斯坦国家基础情况数据，包括资源、社会、经济等数据，构建综合数据集。,巴基斯坦;基础数据
以中南半岛5国（越南、老挝、缅甸、泰国、柬埔寨）为国别，利用多方资料搜集2000年至2015年基本交通状况数据，具体包括公路里程、铁路里程等。,中南半岛;交通
以泰国、老挝、越南、缅甸、柬埔寨为国别，搜集整理2010年至2015年包括居民消费、生活水平等反映人文发展情况指标数据，构建人文发展状况数据集。,中南半岛;人文发展
2015年一带一路国家及地区行政边界矢量数据。原始数据从https://gadm.org/data.html网站下载，经过修订合并后生成。,行政边界;一带一路
2010、2005、2010年福建、广东、广西、海南四省土地覆被数据。数据结果通过解译Landsat遥感影像得到，分辨率为30m。,土地覆被;华南
2000-2020年一带一路植被状况数据集，包含NDVI/EVI，NPP两个数据产品。NDIV/EVI数据产品每年2期（1月份和7月份各1期），空间分辨率为1km，地理坐标为WGS_1984，每条数据包括两个波段（波段1为NDVI值，NDVI= DN×0.0001，填充值为-3000；第二个波段是EVI值，EVI= DN×0.0001，填充值：-3000）。NPP数据产品每年1期，空间分辨率为500m，地理坐标为WGS_1984，每条数据包含一个波段，代表像素所在位置的NPP，NPP= DN×0.0001，数据有效值范围为-30000–32700，填充值为-32767。,一带一路; 植被状况; 植被指数; NDVI; EVI; NPP
2000-2020年一带一路辐射收支数据集，包括可见光、近红外、短波波段的black sky地表反射率，即地表反射波与太阳入射波的能量之比。该数据产品每年包括2期数据（1月份和7月份），数据空间分辨率为1km，地理坐标为WGS_1984，地表反射率 = 像素值×0.0001，有效值范围为-100–16000，填充值为-28672。每条数据包含3个波段，分别表示可见光、近红外、短波波段的地表反射率。,一带一路;辐射收支;地表反照率;albedo
2000-2020年一带一路夜间灯光数据集。每年1期数据，为当年的年平均值。该数据集包括两个数据源，DMSP-OLS和VIIRS。其中DMSP-OLS的原始空间分辨率为1km，重采样为500m，覆盖时间跨度为2000-2012年，VIIRS的空间分辨率为500m，时间跨度为2012-2020年。每条数据包含一个波段，表示夜间灯光指数， 有效值范围为 1~63，填充值包括两个，其中0表示背景噪声，255表示全年云遮挡的像素，地理坐标系为WGS_1984。,一带一路;夜间灯光;生态环境
该产品覆盖范围涵盖中亚五国全境，该数据集包括中亚草地、中亚耕地、中亚湖泊、中亚人工绿洲、中亚森林、中亚湿地等6组生态环境状况关键要素数据集，可提供1990，2000，2010，2015等历史时期的要素时空动态数据支持。,中亚;生态环境要素;生态环境状况
该产品覆盖范围涵盖中亚五国全境，提供1990，2000，2010，2015等历史时期的要素时空动态数据支持。不同时相的数据分别以1990，2000，2010，2015结尾。该数据集使用Landsat、SPOT数据遥感数据解译得到，其中大部分区域使用Landsat数据，部分重点监测区域采用SPOT数据进行补充。,中亚;生态环境参数;土壤盐碱化
该产品覆盖范围涵盖中亚五国全境，数据集包括中亚自然保护区分布、地形地貌、行政区划等3组基础地理信息产品。其中地形地貌产品包括国际河流、国界、沙漠、首都、一级行政中心、重要湖泊与水库。行政区划数据包括省界、首都、一般城市等信息。,中西亚;行政区划;基础地理信息;地形地貌
该产品覆盖范围涵盖中亚五国全境，该数据集包括中亚草地、中亚耕地、中亚湖泊、中亚人工绿洲、中亚森林、中亚湿地等6组生态环境状况关键要素数据集，可提供1990s，2000s，2010s，2015s等历史时期的要素时空动态数据支持。,中亚;生态环境要素;生态环境状况
该产品覆盖范围涵盖中亚五国全境，该数据集包括中亚草地、中亚耕地、中亚湖泊、中亚人工绿洲、中亚森林、中亚湿地等6组生态环境状况关键要素数据集，可提供1990s，2000s，2010s，2015s等历史时期的要素时空动态数据支持。,中亚;生态环境要素;生态环境状况
,
该产品覆盖范围涵盖中亚五国全境，该数据集包括中亚草地、中亚耕地、中亚湖泊、中亚人工绿洲、中亚森林、中亚湿地等6组生态环境状况关键要素数据集，可提供1990s，2000s，2010s，2015s等历史时期的要素时空动态数据支持。,中亚;生态环境要素;生态环境状况
该产品覆盖范围涵盖中亚五国全境，该数据集包括中亚草地、中亚耕地、中亚湖泊、中亚人工绿洲、中亚森林、中亚湿地等6组生态环境状况关键要素数据集，可提供1990s，2000s，2010s，2015s等历史时期的要素时空动态数据支持。,中亚;生态环境要素;生态环境状况
该产品为覆盖范围涵盖中亚五国(哈萨克斯坦、吉尔吉斯坦、乌兹别克斯坦、塔吉克斯坦、土库曼斯坦)及西亚三国（伊朗、阿富汗、土耳其）全境去云日积雪数据产品集。收集了2000年至2016年逐日数据，不同值的意义如下。25：陆地；37：水体；200：积雪；255：背景值。,中西亚;生态环境要素;积雪面积;
该产品覆盖范围涵盖中亚五国全境，数据集包括中亚自然保护区分布、地形地貌、行政区划等3组基础地理信息产品。其中地形地貌产品包括国际河流、国界、沙漠、首都、一级行政中心、重要湖泊与水库。行政区划数据包括省界、首都、一般城市等信息。,中西亚;行政区划;基础地理信息;地形地貌
该产品覆盖范围涵盖中亚五国全境，数据集包括中亚自然保护区分布、地形地貌、行政区划等3组基础地理信息产品。其中地形地貌产品包括国际河流、国界、沙漠、首都、一级行政中心、重要湖泊与水库。行政区划数据包括省界、首都、一般城市等信息。,中西亚;行政区划;基础地理信息;地形地貌
2000-2020年一带一路土地覆被数据集。每年1期数据，空间分辨率为1公里，地理坐标系为WGS_1984。采用IGBP（国际地圈生物圈计划）土地覆盖定义的17类，包括11类自然植被分类（常绿针叶林、常绿阔叶林、落叶针叶林、落叶阔叶林、混交林、郁闭灌丛、开放灌丛、多树的草原、稀树草原、草原、湿地），3类土地利用和土地镶嵌（作物、城市和建成区、作物和自然植被的镶嵌体），3类无植生土地分类（雪冰、裸地或低植被覆盖地、水体）。,一带一路;土地覆被;生态环境
